ORIGIN,flights,delay_rate,mean_delay,median_delay,p90,p95,p99
LGA,11015,0.3511575124829778,25.167952791647753,3.0,72.0,118.0,248.0
EWR,10032,0.30213317384370014,19.941586921850078,0.0,56.0,93.0,220.38000000000102
BOS,11751,0.2758914134967237,21.441324142626158,0.0,65.0,113.0,235.0
JFK,8363,0.2713141217266531,19.97130216429511,0.0,54.0,93.0,247.3799999999992
ORD,29795,0.2633663366336634,18.135056217486156,0.0,51.0,88.0,205.0
DFW,25416,0.2633380547686497,18.009206798866856,0.0,54.0,92.0,206.84999999999854
MCO,12611,0.2539053207517247,19.090080088811355,0.0,53.0,98.0,238.89999999999964
BNA,9505,0.25344555497106785,16.281430825881117,0.0,44.0,78.0,184.95999999999913
DAL,5762,0.2530371398819854,15.836167997223187,0.0,46.0,80.0,188.39000000000033
DCA,11633,0.2415541992607238,15.911974555144846,0.0,46.0,80.0,180.0
AUS,7508,0.24134256792754397,16.036228023441662,0.0,43.0,76.0,203.9300000000003
LAS,14802,0.24037292257803,16.03182002432104,0.0,45.0,79.0,186.98999999999978
MIA,7936,0.23399697580645162,17.444430443548388,0.0,49.0,88.0,209.0
PHL,8933,0.23340423150117542,17.78786521885145,0.0,51.0,90.0,226.04000000000087
HOU,4659,0.2292337411461687,13.103455677183945,0.0,36.19999999999982,66.0,151.84000000000015
PBI,2148,0.22858472998137802,18.75,0.0,60.0,103.0,231.2400000000016
BUR,2441,0.22285948381810733,14.345759934453094,0.0,42.0,83.0,162.0
PHX,15802,0.22256676370079737,14.368371092266802,0.0,41.0,73.0,170.0
STL,5410,0.22162661737523107,14.560628465804067,0.0,38.0,71.0,183.90999999999985
MSY,4473,0.22021014978761458,13.627766599597585,0.0,42.0,73.0,171.0
SAN,8189,0.2201734033459519,14.837342776895836,0.0,41.0,70.0,180.35999999999967
RDU,4695,0.2185303514376997,15.874760383386581,0.0,43.0,78.0,200.0
TPA,5820,0.21563573883161513,15.872508591065293,0.0,41.0,83.0,217.0
SJU,2114,0.21475875118259224,15.682592242194891,0.0,36.0,65.69999999999982,197.08999999999924
CHS,2040,0.2142156862745098,18.33921568627451,0.0,48.0,87.04999999999995,272.6399999999976
OAK,2627,0.2139322421012562,12.25656642558051,0.0,36.0,62.0,147.0
MKE,2452,0.21207177814029363,17.90905383360522,0.0,44.0,93.0,223.42999999999847
SFO,11959,0.21088719792624802,14.041893134877498,0.0,40.0,70.10000000000036,178.0
MDW,6257,0.20616909061850727,10.783922007351766,0.0,32.0,56.0,122.0
MCI,4028,0.20506454816286,13.226663356504469,0.0,33.0,61.0,172.6500000000001
IAH,9636,0.20444167704441676,14.446139476961395,0.0,37.0,68.0,193.29999999999927
FLL,6357,0.20355513607047349,14.251848356142835,0.0,40.0,73.19999999999982,181.4399999999996
ATL,25007,0.20182348942296158,12.766385412084617,0.0,35.0,62.0,161.9399999999987
DEN,26507,0.20039989436752556,11.612328818802581,0.0,33.0,57.0,139.0
CLT,15245,0.1998688094457199,13.87359790095113,0.0,39.0,73.0,178.0
SMF,4593,0.1974744175919878,11.799259743087307,0.0,33.0,64.0,148.07999999999993
CMH,3829,0.1969182554191695,14.393314181248368,0.0,35.0,71.0,197.4399999999996
SJC,3599,0.1964434565156988,11.217004723534314,0.0,33.0,58.0,142.01999999999998
RSW,2262,0.1958443854995579,15.37002652519894,0.0,41.0,86.94999999999982,225.5599999999995
BWI,8141,0.1934651762682717,10.766122098022356,0.0,31.0,54.0,133.0
CVG,2847,0.192483315770987,12.861959957850368,0.0,32.0,67.69999999999982,172.15999999999985
ONT,2182,0.19019248395967003,13.183318056828597,0.0,32.0,62.0,169.3800000000001
CLE,3293,0.18797449134527786,14.8123291831157,0.0,38.0,76.39999999999964,185.0
PDX,5210,0.18771593090211133,11.359884836852208,0.0,29.0,52.0,148.0
OKC,2009,0.18516674962667995,13.52165256346441,0.0,36.0,74.0,182.0
JAX,2297,0.18415324336090552,12.999564649542881,0.0,35.0,65.0,185.27999999999975
SNA,3592,0.18207126948775057,14.333518930957684,0.0,35.90000000000009,70.0,192.0
SEA,12957,0.1804430037817396,11.527668441768927,0.0,31.0,57.0,155.4400000000005
MEM,2172,0.17955801104972377,12.589779005524862,0.0,30.0,61.0,179.28999999999996
LAX,14832,0.17887001078748652,13.390507011866235,0.0,35.0,69.0,202.0
PIT,3661,0.17672767003550943,12.016662114176455,0.0,34.0,68.0,177.0
IND,4116,0.17662779397473274,13.449222546161321,0.0,32.0,67.25,178.8499999999999
SAT,3467,0.17161811364291896,12.698298240553793,0.0,31.0,67.69999999999982,202.36000000000058
SDF,2001,0.16591704147926037,11.735132433783109,0.0,30.0,64.0,172.0
ABQ,2280,0.16535087719298244,13.30921052631579,0.0,30.0,62.04999999999973,202.52000000000044
OMA,2102,0.1631779257849667,10.762131303520457,0.0,25.0,50.0,146.98999999999978
MSP,9175,0.1609809264305177,10.567411444141689,0.0,28.0,57.0,142.26000000000022
IAD,4625,0.16043243243243244,11.352432432432433,0.0,28.0,56.0,175.28000000000065
DTW,10347,0.15453754711510584,11.21716439547695,0.0,30.0,63.0,164.53999999999905
SLC,9442,0.1485914001270917,9.914319000211819,0.0,24.899999999999636,51.0,152.0
HNL,4174,0.14063248682319118,9.696454240536655,0.0,21.0,40.34999999999991,161.80999999999858
