carrier,flights,delay_rate,avg_delay_mins
AA,79909,0.246230086723648,20.3690573026818
AS,19550,0.205319693094629,12.7005115089514
B6,17664,0.261379076086957,19.5697463768116
DL,83015,0.172378485815816,12.4915135818828
F9,16688,0.224652444870566,19.7266898370086
G4,10424,0.221412125863392,17.8700115118956
HA,5892,0.204005431093007,14.3138153428377
MQ,26209,0.190926780876798,11.8174672822313
NK,13767,0.198082370886903,14.5826977555023
OH,19617,0.197022990263547,15.0841616964877
OO,68147,0.181079137746342,13.9047793740003
UA,67368,0.206923168269802,13.0357588172426
WN,116934,0.23426890382609,12.9530589905417
YX,28322,0.250158887084245,16.8715133112068
